"id","start","end"
"152718","1498237200","1498237200"
"150428","1493553600","1493568000"
"150428","1497787200","1497787200"
"134820","1499963400","1499963400"
"153634","1498327200","1498359600"
"154267","1498246200","1498251600"
"154267","1499801400","1499806800"
"154267","1501183800","1501189200"
"154267","1501788600","1501794000"
"154267","1502911800","1502917200"
"153226","1496991600","1497812400"
"153272","1499184000","1499184000"
"152535","1497787200","1497790800"
"152965","1499542200","1499558400"
"154060","1496435400","1496455200"
"154060","1497040200","1497060000"
"154060","1497645000","1497664800"
"154060","1498249800","1498269600"
"154060","1498854600","1498874400"
"108356","1454518800","1454518800"
"108356","1454605200","1454605200"
"108356","1460394000","1460394000"
"108356","1460480400","1460480400"
"108356","1463922000","1463922000"
"108356","1463936400","1463936400"
"108356","1471280400","1471280400"
"108356","1471366800","1471366800"
"108356","1480525200","1480525200"
"108356","1487610000","1487610000"
"108356","1499101200","1499101200"
"136003","1494536400","1501361999"
"113425","1457971200","1457971200"
"113425","1458057600","1458057600"
"113425","1458230400","1458230400"
"113425","1458921600","1464372000"
"113425","1483477200","1485723600"
"113425","1485896400","1488315600"
"113425","1488315600","1490994000"
"113425","1497960000","1497960000"
"113425","1504954800","1506769200"
"113425","1519902000","1522494000"
"146915","1491030000","1499017500"
"150429","1495717200","1495717200"
"150429","1495746000","1498510800"
"154101","1498201200","1506276000"
"152310","1495659600","1503867600"
"148806","1489854600","1489854600"
"148806","1489941000","1489941000"
"148806","1493569800","1493569800"
"82283","1434272400","1434301200"
"82283","1466326800","1466355600"
"82283","1497775500","1497805200"
"154929","1497718800","1497718800"
"153495","1497546000","1497546000"
"148123","1497513600","1497726000"
"152422","1497769200","1497769200"
"152422","1500188400","1500188400"
"152422","1502607600","1502607600"
"148950","1489599000","1489613400"
"148950","1490463000","1490477400"
"148950","1491067800","1491082200"
"148950","1491672600","1491687000"
"148950","1492277400","1492291800"
"148950","1492882200","1492896600"
"148950","1493487000","1493501400"
"148950","1493573400","1493587800"
"148950","1494005400","1494019800"
"148950","1494264600","1494279000"
"148950","1494696600","1494711000"
"148950","1495215000","1495229400"
"148950","1495906200","1495920600"
"148950","1496511000","1496525400"
"148950","1497202200","1497216600"
"148950","1497720600","1497735000"
"15045","1443024000","1443036000"
"15045","1448208000","1448220000"
"15045","1450800000","1450812000"
"15045","1459440000","1459452000"
"15045","1461945600","1461957600"
"15045","1463932800","1463944800"
"15045","1464710400","1464722400"
"15045","1466524800","1466536800"
"15045","1468166400","1468178400"
"15045","1475078400","1475090400"
"15045","1476633600","1476645600"
"15045","1478534400","1478546400"
"15045","1479830400","1479842400"
"15045","1482249600","1482261600"
"15045","1486137600","1486149600"
"15045","1490112000","1490124000"
"15045","1490198400","1490210400"
"15045","1497196800","1497208800"
"15045","1498147200","1498159200"
"15045","1500134400","1500146400"
"85789","1493067600","1498337999"
"118776","1465315200","1465315200"
"118776","1465401600","1465401600"
"118776","1466092800","1466092800"
"118776","1466179200","1466179200"
"118776","1472918400","1472926500"
"118776","1473004800","1473012900"
"118776","1473782400","1473790500"
"118776","1475337600","1475345700"
"118776","1475424000","1475432100"
"118776","1476892800","1476900900"
"118776","1478016000","1478024100"
"118776","1480176000","1480184100"
"118776","1480262400","1480270500"
"118776","1480608000","1480616100"
"118776","1480694400","1480702500"
"118776","1486051200","1486059300"
"118776","1487865600","1487873700"
"118776","1489248000","1489256100"
"118776","1489334400","1489342500"
"118776","1492963200","1492971300"
"118776","1493136000","1493144100"
"118776","1494777600","1494785700"
"118776","1494950400","1494958500"
"118776","1496419200","1496427300"
"118776","1496937600","1496945700"
"118776","1499270400","1499364900"
"47055","1439481600","1439492400"
"47055","1439568000","1439578800"
"47055","1439654400","1439665200"
"47055","1439740800","1439751600"
"47055","1439827200","1439838000"
"47055","1439913600","1439924400"
"47055","1443974400","1443985200"
"47055","1444060800","1444071600"
"47055","1444147200","1444158000"
"47055","1444233600","1444244400"
"47055","1449763200","1449774000"
"47055","1449849600","1449860400"
"47055","1449936000","1449946800"
"47055","1450022400","1450033200"
"47055","1454688000","1454698800"
"47055","1454774400","1454785200"
"47055","1454839200","1454850000"
"47055","1454860800","1454871600"
"47055","1458230400","1458241200"
"47055","1458316800","1458327600"
"47055","1458403200","1458414000"
"47055","1458489600","1458500400"
"47055","1458576000","1458586800"
"47055","1463155200","1463166000"
"47055","1463241600","1463252400"
"47055","1463306400","1463317200"
"47055","1463328000","1463338800"
"47055","1481385600","1481396400"
"47055","1481472000","1481482800"
"47055","1481558400","1481569200"
"47055","1481644800","1481655600"
"47055","1487192400","1487538000"
"47055","1492099200","1492110000"
"47055","1492185600","1492196400"
"47055","1492272000","1492282800"
"47055","1492358400","1492369200"
"47055","1504800000","1504983600"
"79074","1491944400","1504126799"
"47240","1439744400","1439744400"
"47240","1439917200","1439917200"
"47240","1440090000","1440090000"
"47240","1440176400","1440176400"
"47240","1440262800","1440262800"
"47240","1440349200","1440349200"
"47240","1440435600","1440435600"
"47240","1440522000","1440522000"
"47240","1440608400","1440608400"
"47240","1440694800","1440694800"
"47240","1440781200","1440781200"
"47240","1440867600","1440867600"
"47240","1440954000","1440954000"
"47240","1469984400","1469994000"
"47240","1470070800","1470080400"
"47240","1470171600","1470603600"
"47240","1470690000","1470862800"
"47240","1471021200","1471030800"
"47240","1472072400","1472418000"
"47240","1493744400","1493744400"
"47240","1494090000","1494090000"
"47240","1494349200","1494349200"
"47240","1494435600","1494435600"
"47240","1494954000","1494954000"
"47240","1495040400","1495040400"
"47240","1495213200","1495213200"
"47240","1495299600","1495299600"
"47240","1495472400","1495472400"
"47240","1495818000","1495818000"
"47240","1495904400","1495904400"
"47240","1495990800","1495990800"
"47240","1496077200","1496077200"
"47240","1496163600","1496163600"
"47240","1496250000","1496250000"
"47240","1496336400","1496336400"
"47240","1496422800","1496422800"
"47240","1496682000","1496682000"
"47240","1496768400","1496768400"
"47240","1496854800","1496854800"
"47240","1497027600","1497027600"
"47240","1497114000","1497114000"
"47240","1497200400","1497200400"
"47240","1497286800","1497978000"
"47240","1498150800","1498323600"
"47240","1498496400","1498496400"
"47240","1498842000","1498842000"
"47240","1498928400","1499014800"
"47240","1499187600","1499187600"
"47240","1499446800","1499446800"
"47240","1499706000","1499706000"
"47240","1499878800","1501520400"
"47240","1501606800","1504026000"
"121406","1465232400","1465232400"
"68825","1427878800","1430499600"
"53919","1430470800","1451588400"
"53919","1451638800","1464634800"
"53919","1464771600","1475524800"
"53919","1483088400","1485889200"
"53919","-62135433000","253370754000"
"154936","1497456000","1497465600"
"154134","1497783600","1497805200"
"147714","1489809600","1489869000"
"147714","1490760000","1490819400"
"147714","1490846400","1490905800"
"147714","1495857600","1495917000"
"147714","1497067200","1497126600"
"147714","1498276800","1498336200"
"148734","1497632400","1497632400"
"153795","1496766000","1496772000"
"153795","1497975600","1497981600"
"20119","1408114800","1408114800"
"20119","1498410000","1498410000"
"153256","1495218600","1495238400"
"153256","1495305000","1495324800"
